development-1	TRUE	FALSE
development-2	TRUE	FALSE
development-3	FALSE	TRUE
development-4	FALSE	TRUE
development-5	FALSE	TRUE
development-6	TRUE	FALSE
development-7	FALSE	FALSE
development-8	FALSE	TRUE
development-9	FALSE	TRUE
development-10	TRUE	FALSE
development-11	FALSE	TRUE
development-12	TRUE	FALSE
development-13	TRUE	FALSE
development-14	TRUE	FALSE
development-15	TRUE	FALSE
development-16	FALSE	FALSE
development-17	TRUE	FALSE
development-18	FALSE	FALSE
development-19	FALSE	TRUE
development-20	FALSE	TRUE
development-21	FALSE	TRUE
development-22	TRUE	FALSE
development-23	TRUE	FALSE
development-24	FALSE	TRUE
development-25	TRUE	FALSE
development-26	FALSE	TRUE
development-27	FALSE	TRUE
development-28	TRUE	FALSE
development-29	FALSE	FALSE
development-30	TRUE	FALSE
development-31	FALSE	TRUE
development-32	FALSE	FALSE
development-33	FALSE	TRUE
development-34	FALSE	FALSE
development-35	TRUE	FALSE
development-36	TRUE	FALSE
development-37	FALSE	TRUE
development-38	FALSE	TRUE
development-39	TRUE	FALSE
development-40	TRUE	FALSE
development-41	FALSE	TRUE
development-42	TRUE	FALSE
development-43	FALSE	TRUE
development-44	FALSE	TRUE
development-45	FALSE	TRUE
development-46	FALSE	FALSE
development-47	FALSE	FALSE
development-48	FALSE	TRUE
development-49	TRUE	FALSE
development-50	FALSE	FALSE
development-51	FALSE	TRUE
development-52	FALSE	TRUE
development-53	FALSE	TRUE
development-54	FALSE	TRUE
development-55	FALSE	TRUE
development-56	FALSE	FALSE
development-57	FALSE	TRUE
development-58	TRUE	FALSE
development-59	TRUE	FALSE
development-60	TRUE	FALSE
development-61	FALSE	TRUE
development-62	TRUE	FALSE
development-63	FALSE	TRUE
development-64	FALSE	TRUE
development-65	FALSE	TRUE
development-66	FALSE	TRUE
development-67	TRUE	FALSE
development-68	FALSE	FALSE
development-69	FALSE	TRUE
development-70	TRUE	FALSE
development-71	FALSE	TRUE
development-72	TRUE	FALSE
development-73	FALSE	TRUE
development-74	TRUE	FALSE
development-75	FALSE	TRUE
development-76	TRUE	FALSE
development-77	FALSE	TRUE
development-78	FALSE	TRUE
development-79	FALSE	FALSE
development-80	FALSE	TRUE
development-81	FALSE	FALSE
development-82	TRUE	FALSE
development-83	FALSE	TRUE
development-84	FALSE	TRUE
development-85	TRUE	FALSE
